Dataset,Model,Distributioanl disparity: Equal opportunity (TPR),Distributioanl disparity: Equalized odds,Distributioanl disparity: PR,Positive Rate Parity (Threshold = 0.5),Equalized odds Parity (Threshold = 0.5),Equal opportunity Parity (Threshold = 0.5),Total Accuracy (Threshold = 0.5),Minority Accuracy (Threshold = 0.5),Majority Accuracy (Threshold = 0.5),Total F1 (Threshold = 0.5),Minority F1 (Threshold = 0.5),Majority F1 (Threshold = 0.5),Positive Rate Parity (Threshold = 0.9),Equalized odds Parity (Threshold = 0.9),Equal opportunity Parity (Threshold = 0.9),Total Accuracy (Threshold = 0.9),Minority Accuracy (Threshold = 0.9),Majority Accuracy (Threshold = 0.9),Total F1 (Threshold = 0.9),Minority F1 (Threshold = 0.9),Majority F1 (Threshold = 0.9),Total AUC,Minority AUC,Majority AUC,Delta AUC
Beer,EMTransformer,0.0,0.15488095238094854,0.3182420765027297,0.3185792349726776,0.15476190476190466,0.0,0.9340659340659341,0.9672131147540983,0.8666666666666667,0.8235294117647058,0.8333333333333334,0.8181818181818182,0.3185792349726776,0.15476190476190466,0.0,0.9340659340659341,0.9672131147540983,0.8666666666666667,0.8235294117647058,0.8333333333333334,0.8181818181818182,0.9703153988868275,0.9964285714285713,0.9047619047619049,0.09166666666666645
iTunes-Amazon,HierMatcher,0.04223295454545468,0.0397129988913527,0.011171052631578957,0.036437246963562764,0.031042128603104402,0.09090909090909094,0.6330275229357798,0.5576923076923077,0.7017543859649122,0.5652173913043478,0.46511627906976744,0.6530612244897959,0.0,0.0,0.0,0.7522935779816514,0.7884615384615384,0.7192982456140351,0.0,0.0,0.0,0.8351400180668473,0.8314855875831485,0.8414634146341463,0.009977827050997812
iTunes-Amazon,LinReg,0.09081818181818338,0.04208647450110839,0.049882591093117254,0.049932523616734115,0.04212860310421285,0.09090909090909094,0.9724770642201835,0.9423076923076923,1.0,0.9454545454545454,0.8695652173913043,1.0,0.049932523616734115,0.04212860310421285,0.09090909090909094,0.9724770642201835,0.9423076923076923,1.0,0.9454545454545454,0.8695652173913043,1.0,0.9692863595302619,0.9301552106430155,1.0,0.06984478935698446
Beer,SVM,0.24045833333333386,0.39630779569892055,0.2911761904761908,0.2952380952380952,0.3833333333333333,0.25,0.9560439560439561,0.9714285714285714,0.9047619047619048,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.1952380952380952,0.3583333333333333,0.29166666666666663,0.9120879120879121,0.9285714285714286,0.8571428571428571,0.6363636363636364,0.5454545454545454,0.7272727272727273,0.9786641929499071,0.9858870967741935,0.9666666666666667,0.01922043010752683
DBLP-GoogleScholar,EMTransformer,0.04592828282828353,0.04020593745905351,0.05385789213397749,0.05416298613859036,0.04006654271547483,0.045454545454545414,0.9803204458376872,0.9728353140916808,0.9811760139724433,0.9469234382339127,0.9,0.9507364144235653,0.053774862715341765,0.03958611994343553,0.045454545454545414,0.9806687565308255,0.9728353140916808,0.9815641373956918,0.9478138222849083,0.9,0.9517031011692934,0.985102839745231,0.9738826129666012,0.9860112050119256,0.01212859204532446
iTunes-Amazon,DeepMatcher,0.08806249999999918,0.13057774390243895,0.10404655870445469,0.08839406207827258,0.11931818181818177,0.11931818181818177,0.9541284403669725,0.9423076923076923,0.9649122807017544,0.9056603773584906,0.8571428571428571,0.9375,0.06342780026990552,0.13636363636363635,0.13636363636363635,0.8623853211009175,0.8653846153846154,0.8596491228070176,0.6153846153846154,0.5333333333333333,0.6666666666666666,0.979223125564589,0.9889135254988913,0.9740853658536586,0.014828159645232764
Beer,HierGAT,0.44400000000000733,0.5967559523809485,0.3609076502732285,0.35081967213114756,0.5428571428571428,0.4,0.945054945054945,0.9672131147540983,0.9,0.8275862068965517,0.75,0.8571428571428571,0.3672131147540984,0.7428571428571428,0.6,0.9340659340659341,0.9508196721311475,0.9,0.7857142857142857,0.5714285714285714,0.8571428571428571,0.9907235621521335,1.0,1.0,0.0
Walmart-Amazon,LogReg,0.07424423963133688,0.07671716807298146,0.042877020285005236,0.03671615929256415,0.08515038074075693,0.08218125960061445,0.9511957052220595,0.9776536312849162,0.948663101604278,0.6621621621621622,0.6,0.6643356643356644,0.032972843784542766,0.07142857142857145,0.07142857142857145,0.9526598340653978,0.9776536312849162,0.9502673796791444,0.6643598615916955,0.6,0.6666666666666666,0.8898600812935501,0.9460132890365448,0.8860144816489157,0.05999880738762908
Fodors-Zagat,DeepMatcher,0.19235087719298424,0.19445891919580138,0.039703379953380025,0.02447552447552448,0.052631578947368474,0.052631578947368474,0.9947089947089947,1.0,0.9935897435897436,0.9767441860465116,1.0,0.972972972972973,0.014568764568764568,0.03508771929824561,0.03508771929824561,0.9259259259259259,0.9393939393939394,0.9230769230769231,0.5333333333333333,0.5,0.5384615384615384,0.9940119760479041,1.0,0.9927007299270073,0.007299270072992692
Amazon-Google,LogReg,0.059157110091743056,0.09641685816603364,0.06929062560132244,0.04911994747982387,0.00014089222195318163,0.02178899082568808,0.9153946794592237,0.9755102040816327,0.899057127010538,0.46111111111111114,0.5,0.4583333333333333,0.005546311702717693,0.041915318496223194,0.04128440366972477,0.9014391626689926,0.9673469387755103,0.8835274542429284,0.07377049180327869,0.0,0.07894736842105263,0.9027949008522103,0.8971518987341772,0.8940902381848175,0.003061660549359746
Fodors-Zagat,HierMatcher,0.07785964912280685,0.09142728902548336,0.03194755244755258,0.03088578088578088,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8835978835978836,0.9090909090909091,0.8782051282051282,0.0,0.0,0.0,1.0,1.0,1.0,0.0
DBLP-ACM,DITTO,0.014406699162604696,0.016488236033978244,0.03785238463868605,0.03541224911087926,0.025261784840377555,0.02099737532808399,0.9886777193691872,0.9885844748858448,0.9886977886977887,0.9688888888888889,0.9618320610687023,0.9700910273081924,0.040613465270999516,0.000920589883942835,0.002874640669916273,0.9894864536999596,0.9885844748858448,0.9896805896805897,0.9707207207207207,0.9606299212598425,0.9724047306176085,0.9987845164040334,0.9986031746031746,0.9988114393802346,0.00020826477706004098
